sender_entity_id,sender_entity_name,sender_entity_type,sender_risk_level,receiver_entity_id,receiver_entity_name,receiver_entity_type,receiver_risk_level,transaction_count,total_amount_usd,avg_amount_usd
ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,ENT018,"Robinson, Nguyen and Tate",Company,Low,1,3255.75,3255.75
ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,ENT019,Andrew Stewart,Client,Low,2,19427.84,9713.92
ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,ENT027,James Ferrell,Individual,High,1,12339.41,12339.41
ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,ENT034,Lisa Hernandez,Vendor,Medium,1,1920.58,1920.58
ENT002,Megan Mcclain,Vendor,Low,ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,1,7994.88,7994.88
ENT002,Megan Mcclain,Vendor,Low,ENT012,Amber Perez,Client,High,1,3998.88,3998.88
ENT002,Megan Mcclain,Vendor,Low,ENT016,Carolyn Daniel,Vendor,Low,1,4339.37,4339.37
ENT002,Megan Mcclain,Vendor,Low,ENT019,Andrew Stewart,Client,Low,2,16864.56,8432.28
ENT002,Megan Mcclain,Vendor,Low,ENT021,Matthew Foster,Vendor,Low,1,1086.09,1086.09
ENT002,Megan Mcclain,Vendor,Low,ENT022,Brenda Taylor,Client,High,1,11833.09,11833.09
ENT002,Megan Mcclain,Vendor,Low,ENT024,Cox-Osborn,Company,High,1,4985.31,4985.31
ENT002,Megan Mcclain,Vendor,Low,ENT026,Christopher Becker,Vendor,High,1,11824.71,11824.71
ENT002,Megan Mcclain,Vendor,Low,ENT037,Koch-Decker,Company,High,1,5488.8,5488.8
ENT003,Amanda Davis,Individual,Low,ENT002,Megan Mcclain,Vendor,Low,1,2077.12,2077.12
ENT003,Amanda Davis,Individual,Low,ENT006,Robert Wolfe,Client,Low,1,10274.32,10274.32
ENT003,Amanda Davis,Individual,Low,ENT015,Mia Sutton,Client,Medium,1,5944.07,5944.07
ENT003,Amanda Davis,Individual,Low,ENT017,Devin Schaefer,Individual,Medium,2,25381.08,12690.54
ENT003,Amanda Davis,Individual,Low,ENT020,Thomas Bradley,Vendor,Medium,1,14002.23,14002.23
ENT003,Amanda Davis,Individual,Low,ENT022,Brenda Taylor,Client,High,1,9232.4,9232.4
ENT003,Amanda Davis,Individual,Low,ENT027,James Ferrell,Individual,High,1,5184.32,5184.32
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT007,Moore-Bernard,Company,Low,1,6570.4,6570.4
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT013,Dr. Sharon James,Vendor,Low,1,7788.63,7788.63
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT014,Holly Wood,Individual,High,1,4024.17,4024.17
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT017,Devin Schaefer,Individual,Medium,1,14117.43,14117.43
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT021,Matthew Foster,Vendor,Low,1,4116.42,4116.42
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT033,Ashley Garrett,Vendor,Low,1,3404.43,3404.43
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT035,Troy Nielsen,Individual,High,1,12544.51,12544.51
ENT004,"Guzman, Hoffman and Baldwin",Company,High,ENT037,Koch-Decker,Company,High,1,7219.72,7219.72
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT011,Stacey Ward,Client,Low,2,11282.9,5641.45
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT017,Devin Schaefer,Individual,Medium,1,11683.27,11683.27
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT018,"Robinson, Nguyen and Tate",Company,Low,1,11595.81,11595.81
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT026,Christopher Becker,Vendor,High,1,10930.0,10930.0
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT028,Maddox-Valencia,Company,Low,1,578.83,578.83
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT030,Mack-Peterson,Company,Low,2,7238.15,3619.08
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT032,Deborah Mason,Vendor,Medium,1,1224.67,1224.67
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT033,Ashley Garrett,Vendor,Low,1,8172.63,8172.63
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT039,John Jones,Individual,Low,1,9574.99,9574.99
ENT005,"Barnes, Cole and Ramirez",Company,High,ENT040,Beth Keller,Client,Medium,1,12362.23,12362.23
ENT006,Robert Wolfe,Client,Low,ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,1,6887.83,6887.83
ENT006,Robert Wolfe,Client,Low,ENT004,"Guzman, Hoffman and Baldwin",Company,High,1,11470.97,11470.97
ENT006,Robert Wolfe,Client,Low,ENT005,"Barnes, Cole and Ramirez",Company,High,1,2509.69,2509.69
ENT006,Robert Wolfe,Client,Low,ENT011,Stacey Ward,Client,Low,1,8195.21,8195.21
ENT006,Robert Wolfe,Client,Low,ENT026,Christopher Becker,Vendor,High,1,12929.92,12929.92
ENT006,Robert Wolfe,Client,Low,ENT028,Maddox-Valencia,Company,Low,2,29040.64,14520.32
ENT006,Robert Wolfe,Client,Low,ENT032,Deborah Mason,Vendor,Medium,1,9507.54,9507.54
ENT006,Robert Wolfe,Client,Low,ENT040,Beth Keller,Client,Medium,2,18032.11,9016.06
ENT007,Moore-Bernard,Company,Low,ENT001,"Rodriguez, Figueroa and Sanchez",Company,Low,1,3220.98,3220.98
ENT007,Moore-Bernard,Company,Low,ENT008,James Howard,Individual,Low,1,12795.57,12795.57
ENT007,Moore-Bernard,Company,Low,ENT013,Dr. Sharon James,Vendor,Low,1,4461.29,4461.29
ENT007,Moore-Bernard,Company,Low,ENT017,Devin Schaefer,Individual,Medium,3,24588.44,8196.15
ENT007,Moore-Bernard,Company,Low,ENT020,Thomas Bradley,Vendor,Medium,1,6415.79,6415.79
ENT007,Moore-Bernard,Company,Low,ENT021,Matthew Foster,Vendor,Low,1,12788.81,12788.81
ENT007,Moore-Bernard,Company,Low,ENT024,Cox-Osborn,Company,High,2,26571.73,13285.86
ENT007,Moore-Bernard,Company,Low,ENT026,Christopher Becker,Vendor,High,1,10047.11,10047.11
ENT007,Moore-Bernard,Company,Low,ENT028,Maddox-Valencia,Company,Low,2,11049.92,5524.96
ENT007,Moore-Bernard,Company,Low,ENT032,Deborah Mason,Vendor,Medium,1,6696.1,6696.1
ENT007,Moore-Bernard,Company,Low,ENT035,Troy Nielsen,Individual,High,1,10183.73,10183.73
ENT007,Moore-Bernard,Company,Low,ENT036,Fred Smith,Vendor,High,1,487.14,487.14
ENT007,Moore-Bernard,Company,Low,ENT039,John Jones,Individual,Low,1,4448.31,4448.31
ENT008,James Howard,Individual,Low,ENT011,Stacey Ward,Client,Low,1,5241.22,5241.22
ENT008,James Howard,Individual,Low,ENT012,Amber Perez,Client,High,1,13950.59,13950.59
